company,salary,Currency,info
https://1password.com/,25-42,,"25/h (1st coop), 29/hr (2nd coop), 32/hr-1300/week (3rd coop), 42/hr (5th coop?)"
https://abnormalsecurity.com/,51,USD,106k USD annual prorated (~$51/hr USD) + 5k relocation
https://www.accedo.tv/,25-27,,25-27/hr (3rd coop)
https://www.achievers.com/,20-25,,20-25/hr
https://addepar.com/,40,,40/hr
https://www.workforcenow.adp.com/,44,,less than 44/hr
https://www.agf.com/,18.5,,18.50/hr
https://akunacapital.com/,65,USD,65 USD/hour + return flight + corporate housing
https://www.amazon.ca/,52.72,USD,9138 USD/month + 2425/month tax-free relocation stipend
https://www.amd.com/en,21.88-29.33,,"27/hr, ~21.88/hr (4th coop), ~29.33/hr (6th coop)"
https://www.americanexpress.com/,34.5,,34.5/hr
https://www.ansys.com/,22.15-33.95,,math coop average + 10%
https://www.apple.com/,34-44,,"(34/hr + 1300-1500 stipend/month), (37/hr + 1350 stipend for 3A term), (44/h + housing or 1k stipend. 4A Product Design) (39/hr USD + housing or 1k/mo (2A coop) hardware)"
https://arcticwolf.com/,23-34,,"20% above coop average, 23/hr (1st coop), 34/hr (4th coop)"
https://aterlo.com/,30,,30/hr (4th coop)
https://www.athelas.com/,33,USD,33/hr USD + 1200/mo USD housing stipend (2nd coop) + flights
http://www.liveathos.com,28.85,USD,5000 USD/mo
https://www.atolio.com/,34-42,,"34/hr (3rd coop), 38/hr (4th coop), 38/hr (5th coop), 42/hr (6th coop)"
https://www.autodesk.ca/,24-30,,24-30/hr
https://autonomic.com/,38-41,,"38-40/hr (4th coop), 41/hr (5th coop)"
https://axonify.com/,21.25-30,,"850/week (2nd coop), 1200/week (6th coop)"
https://www.bankofamerica.com/,20-22,,22/hr (2nd coop)
https://www.pdo.co.om/,25-34.36,,"34.36/hr, 25/h (2nd coop), 32/h (3rd coop)"
https://www.bentley.com/,30-33,,"30/hr (1st coop), 33/hr (2nd coop)"
https://www.betterup.com/,49.04,,8500/mo
https://www.bitgo.com/,57.69,,"10,000/mo"
https://www.blackberry.com/,21,,"(about average), ~21/hr"
https://www.bld.ai/,40.38,,7000/mo
https://www.bloomberg.com/,48,,48/hr + 5100 stipend (5th coop)
